"","alpha","beta","gamma","delta","acinar","ductal","endothelial","activated_stellate","quiescent_stellate"
"Sub76",0.744462273018779,0.0075841853696487,0.00351222738075409,0.0295020257939909,0.0046660378483519,0.0349020353661022,0.130251226558288,0.0154446872326653,0.0296753014314195
"Sub77",0.424947134825077,0,0,8.97581540727063e-05,0.00441061915094402,0.342414066582281,0.156618652890696,0.0169978506101887,0.0545219177867401
"Sub78",0.670911255945432,0,0.000494568223242331,0.010524703699488,0,0.0361457379986845,0.169312219468694,0.112611514664458,0
"Sub79",0.545683517811466,0.00683972385308289,0,0.000215416435884985,0.0354773379684537,0.217470609122166,0.141355017516798,0.0495685263612474,0.00338985093090087
"Sub80",0.299032763650101,0,0,0,0.0134643483235434,0.548334258785388,0.0976956406739382,0.0349990937713664,0.00647389479566293
"Sub81",0.68916332670388,0,0,0.00654053645968034,0.000496672610313871,0.0810387940236107,0.161649121179583,0.0271141490581915,0.0339973999647404
"Sub82",0.0954766281231967,0.0231419908232845,0.0102664875656717,0.00350525040224829,0.0719785778514332,0.456511611662366,0.183291763463894,0.153426915960564,0.00240077414734161
"Sub83",0.277033745604682,0,0,0,0.0404555625212633,0.575080976751999,0.0581455524380326,0.0116655167166516,0.0376186459673712
"Sub84",0.291586749840496,0.0153206287514284,0,0,0.0082396593262303,0.317421927553992,0.208378370275246,0.118553942222172,0.0404987220304352
"Sub85",0.59042353051327,0,2.81943887839999e-05,0.00106020234852379,0.00869045435127337,0.231212585279735,0.12090505814324,0.0476799749751732,0
"Sub86",0.643164668093365,0.000204525398081097,0,0.00217479842036768,0.0190815566425515,0.149433033129621,0.127801571376209,0.0302666265641662,0.0278732203756382
"Sub87",0.323882992557992,2.66998581258336e-06,0.00909980337056426,0,0.00535558819279762,0.276022235062418,0.18175415757341,0.0131882356584932,0.190694317598513
"Sub88",0.780883418240812,0.0621037596403544,0.0205508193653405,0.0112666264905222,0,0,0.0926023830675297,0.014728398506752,0.0178645946886894
"Sub89",0.723210357473414,0,0.00333082818232907,0.00893906801405267,0,0.0470715743907961,0.140670968629462,0.0226383470997974,0.054138856210149
