	beta	alpha	delta	gamma	endothelial	acinar	ductal
Sub71	0.20262332	0.20672217	0.03697991	0.03622199	0.037119687	0.21056983	0.26976314
Sub72	0.2327256	0.20945045	0.036129456	0.041795384	0.0601836	0.18202183	0.23769374
Sub73	0.20221423	0.21414827	0.032211524	0.03535145	0.04223326	0.20804062	0.26580063
Sub74	0.18507966	0.18741417	0.021518862	0.019675039	0.038924173	0.25077233	0.29661578
Sub75	0.21017137	0.20083922	0.022357019	0.023890961	0.047038876	0.2116959	0.28400663
Sub76	0.22468306	0.22225393	0.03463743	0.039607167	0.04556854	0.19019526	0.24305458
Sub77	0.20556411	0.1997757	0.023502078	0.021674491	0.046501823	0.21883495	0.28414685
Sub78	0.22004773	0.22097391	0.026651856	0.034111038	0.049396493	0.19520472	0.25361434
Sub79	0.20391867	0.19690871	0.028970154	0.0314591	0.044581372	0.22163764	0.27252442
Sub80	0.19827968	0.19108862	0.021223072	0.020577777	0.040778972	0.23446457	0.29358727
Sub81	0.22502294	0.21493602	0.032118466	0.04126905	0.046970107	0.1910566	0.24862675
Sub82	0.19750357	0.19493033	0.016011309	0.01995972	0.04897589	0.2423452	0.28027403
Sub83	0.19707316	0.18903685	0.025838247	0.021616198	0.0426211	0.23976114	0.2840533
Sub84	0.21302338	0.20510669	0.020757018	0.026837638	0.051799644	0.21328618	0.26918945
Sub85	0.20893914	0.20368004	0.031586993	0.032253046	0.047154352	0.20735557	0.26903078
Sub86	0.21169518	0.20849793	0.03586175	0.038111817	0.050250016	0.20687747	0.24870585
Sub87	0.19724816	0.2041655	0.025204612	0.023758695	0.052047268	0.21706603	0.28050965
Sub88	0.22196846	0.23733638	0.04145555	0.05415631	0.04712537	0.17435598	0.22360188
Sub89	0.22067444	0.21998088	0.04043156	0.04141776	0.05519796	0.18389463	0.2384027
