	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub57	0.09685025	0.1648104	0.06717204	0.19310135	0.35450354	0.035042275	0.025721066	0.039600294	0.023198718
Sub58	0.06699631	0.18744709	0.02720124	0.25175768	0.39401403	0.01734636	0.015959043	0.02628459	0.012993726
Sub59	0.07148164	0.12363718	0.042696845	0.30236727	0.3437002	0.025814602	0.020478452	0.038753193	0.031070612
Sub60	0.06654273	0.1306877	0.04242624	0.4175731	0.24526286	0.020389708	0.016398532	0.030353002	0.030366128
Sub61	0.06843719	0.1721977	0.050347026	0.2552595	0.26494655	0.026142517	0.02119343	0.040783647	0.1006924
Sub62	0.117826015	0.25786138	0.048145283	0.10192109	0.34696066	0.04216029	0.026369719	0.045462605	0.013292962
Sub63	0.12057194	0.21268785	0.05383736	0.10650861	0.37867856	0.04041005	0.022610707	0.044897914	0.01979703
Sub64	0.07789576	0.21004508	0.057112824	0.11703827	0.39951563	0.03709838	0.023071235	0.044764485	0.033458296
Sub65	0.07419262	0.22357863	0.06983587	0.29183677	0.214806	0.03018272	0.030263947	0.045830816	0.0194726
Sub66	0.063462086	0.11260349	0.035368193	0.2758806	0.4354826	0.018702472	0.015310106	0.03225471	0.010935704
Sub67	0.07398536	0.13012855	0.053368937	0.2720454	0.33815646	0.03245211	0.024546327	0.042735633	0.032581165
Sub68	0.08697335	0.20222682	0.07165009	0.14060213	0.37433493	0.0324825	0.022098936	0.05257627	0.017055005
Sub69	0.11319929	0.20823868	0.028728077	0.14136076	0.4228866	0.019137869	0.016835125	0.035800636	0.013813011
Sub70	0.09954146	0.18481623	0.0806155	0.22045177	0.2920123	0.035250794	0.022624562	0.045504138	0.019183239
Sub71	0.11385071	0.19643049	0.027242467	0.29291418	0.27821207	0.022344103	0.026580125	0.024523368	0.01790241
Sub72	0.08808887	0.15108715	0.05387636	0.102517	0.4852325	0.037758783	0.019902295	0.051957086	0.009579912
Sub73	0.08278725	0.2716376	0.048454028	0.25722805	0.22566111	0.02865082	0.027108228	0.03648084	0.021992067
Sub74	0.054847192	0.20082049	0.052812647	0.39451468	0.1551066	0.028038165	0.022778273	0.041179497	0.04990245
Sub75	0.07621758	0.13093804	0.07046941	0.29784057	0.31762674	0.032581326	0.021633642	0.041446265	0.011246421
Sub76	0.10002395	0.25747994	0.03821687	0.0970617	0.4248313	0.01971261	0.017655708	0.03232382	0.012694072
Sub77	0.0668833	0.17264263	0.06778139	0.2988649	0.2822681	0.031395946	0.01861204	0.042839166	0.018712515
Sub78	0.09023131	0.236279	0.082553916	0.12466594	0.34981275	0.03601219	0.020962054	0.04858545	0.010897443
Sub79	0.10270689	0.16170175	0.07133453	0.25393584	0.27239692	0.039592225	0.027741373	0.041679446	0.028910913
Sub80	0.085140824	0.1396441	0.06972749	0.3448429	0.23585634	0.030584345	0.023593744	0.03706457	0.03354567
Sub81	0.10091572	0.19043155	0.05322817	0.13182701	0.41452238	0.03301925	0.025183067	0.038826305	0.012046543
Sub82	0.060174715	0.16326296	0.10453224	0.3077667	0.23125704	0.030785173	0.020443955	0.051372033	0.030405214
Sub83	0.06836445	0.14058459	0.05469216	0.35873723	0.25343654	0.027187517	0.024087101	0.026083348	0.046826955
Sub84	0.08704109	0.14441366	0.07333887	0.20847487	0.35426986	0.03660084	0.019085601	0.05965376	0.01712142
Sub85	0.098766774	0.1754481	0.040125858	0.27308092	0.29975572	0.032429963	0.023182595	0.039126586	0.01808353
Sub86	0.111207634	0.21313708	0.059102867	0.15104471	0.33592427	0.035803292	0.022273907	0.04146943	0.030036828
Sub87	0.087946974	0.2246496	0.075814806	0.2841473	0.19516917	0.03653496	0.02337151	0.055132713	0.017232964
Sub88	0.1470442	0.2875766	0.034128662	0.059134413	0.36938146	0.029648481	0.025129497	0.037926126	0.010030602
Sub89	0.107512	0.252314	0.04086173	0.099714525	0.39301658	0.033120256	0.01928317	0.042468783	0.01170893
