,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0,0.119096668994627,0.0236228008445066,0.584967569961276,0.0673099902592735,0.11191622646134,0.0020392003495518,0.0504035192606418,0.0378589089319565
GSM2154806,0,0.121034176903243,0.0241014993657451,0.597598245882722,0.0687325414002437,0.0949769314197216,0.0007824632823518,0.0511671314447427,0.0386874547651777
GSM2154808,0,0.125770348550749,0.0248929378951283,0.613237134176782,0.06974484759052,0.0696059856457005,0.0021914056708788,0.0521866617834366,0.039395203106634
GSM2154801,0,0.0958474943161547,0.0160515257798315,0.380650365772459,0.0484430775274084,0.224684696561364,0.172568643033182,0.0334777122023069,0.0262447775630884
GSM2154807,0,0.12675279327377,0.0252812427889889,0.619464350462872,0.0702225689998067,0.0606293999441185,0.0024196082750512,0.0523435557838506,0.0398171865898786
GSM2154802,0,0.121145803822149,0.0213147717062169,0.507137172296734,0.0630711231332569,0.140232945048246,0.0652974589782393,0.0445275241623298,0.0346626510999156
GSM2154805,0,0.121211196173725,0.0248014570218288,0.607739572370766,0.069629124455659,0.0822899246587295,0.0,0.0518216050891643,0.039769603362531
GSM2154804,0,0.125130470860748,0.0247344429084335,0.616336098817443,0.0701851116602141,0.0670952599005484,0.001897579596595,0.0522097920061805,0.0394762472325549
GSM2154800,0,0.102534791458243,0.0171842987904175,0.408607333831092,0.0518464522447248,0.200257949140299,0.153404875335861,0.0358773076100658,0.0281150573177029
GSM2154803,0,0.111458800244425,0.0213324125642249,0.502247875607711,0.0606493126911484,0.193195031598801,0.029801714051098,0.0447709528737166,0.0341746152714443
