Mixture,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.0009397392227359,0,0.0720310068286879,0.9070358534990512,0.0,0.0014269930283225,3.1828936200712e-05,0.0039923269355868,0.0140934088290895
GSM2154806,0.0014472197866929,0,0.058488916164163,0.9179450324245491,0.0,0.0032903977665364,3.20366272226081e-05,0.0049443539900063,0.0135790540610803
GSM2154808,0.0027854495479465,0,0.055417582865671,0.921851118560942,0.0,0.0024931919918032,3.50768804788336e-05,0.0053698154389405,0.0113366240784698
GSM2154801,0.0226525209557555,0,0.0947254131615511,0.808143975957547,0.0164967530071693,0.0054872563863381,2.64487714503266e-05,0.00682884630097,0.023654531306002
GSM2154807,0.0018519172825311,0,0.0649528506986338,0.9115308051927272,0.0,0.001983449710188,3.32691273832627e-05,0.0049648709687522,0.0146740437697531
GSM2154802,0.0255520254803736,0,0.0807046814583633,0.851911854200224,0.0,0.0065781955596948,0.0,0.0046212926166502,0.0249438730871506
GSM2154805,0.0008909321295565,0,0.0689434981402744,0.9131197158916049,0.0,0.0010572591580484,3.19670007503064e-05,0.0042951299184298,0.0109060132017704
GSM2154804,0.000703820169149,0,0.058744730378082,0.921526291751076,0.0,0.0014962819027336,3.31617728118087e-05,0.0041552556037036,0.0120928358975761
GSM2154800,0.0146044036311317,0,0.0841384194491741,0.850129154288175,0.0,0.003630090939772,1.63799289534623e-05,0.0037923244696158,0.0273131874927722
GSM2154803,0.0181480577034389,0,0.0859570776741872,0.857711393469832,0.0,0.0101064590410141,0.0,0.002343132619958,0.0203297924284909
