	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub69	0.1497379	0.14953706	0.13672456	0.17190517	0.276949	0.005641025	0.08949317	0.0	0.020012105
Sub70	0.14301781	0.14200462	0.14634208	0.18659185	0.25554198	0.015995804	0.08719444	0.0	0.023311501
Sub71	0.14180598	0.14975569	0.13196531	0.19844668	0.26222	0.0038394686	0.089378916	0.0	0.022587935
Sub72	0.15080695	0.140624	0.14312778	0.15844068	0.28179684	0.0129147265	0.092602804	0.00344499	0.016241217
Sub73	0.1408549	0.15286665	0.13755094	0.19071251	0.2561603	0.009547233	0.08931602	0.0	0.022991445
Sub74	0.12767044	0.13828826	0.13726915	0.21687599	0.24080388	0.016889963	0.085096836	0.0	0.037105493
Sub75	0.13819665	0.13725829	0.1478877	0.19713563	0.25810337	0.013875553	0.08815641	0.0	0.01938642
Sub76	0.15226366	0.15501481	0.14083625	0.16325574	0.2767961	0.0040007113	0.0905731	0.0	0.017259555
Sub77	0.13711111	0.13745904	0.14519167	0.20079821	0.25536478	0.01473036	0.08454152	0.0	0.024803322
Sub78	0.14837119	0.1495873	0.14970852	0.1687675	0.2669016	0.012173621	0.08930913	0.0	0.015180985
Sub79	0.14161296	0.13873553	0.1422469	0.19147372	0.25509658	0.016232302	0.087527685	0.0	0.027074354
Sub80	0.13360713	0.13438976	0.14342253	0.20852032	0.24986589	0.016542004	0.08429586	0.0	0.029356454
Sub81	0.14969382	0.14723195	0.14352962	0.1670397	0.27443314	0.009215478	0.091825925	0.0	0.01703038
Sub82	0.13271025	0.13613999	0.14946291	0.19818445	0.24891698	0.019459935	0.08536304	0.0	0.029762423
Sub83	0.13007651	0.13487482	0.13762186	0.21007437	0.25151515	0.015571516	0.08430949	0.0	0.035956316
Sub84	0.14224057	0.13732202	0.14653055	0.18303053	0.2630164	0.01669624	0.08780114	0.00022529009	0.023137258
Sub85	0.14172737	0.14315376	0.13699245	0.19297794	0.2617574	0.011463526	0.088810116	0.0	0.02311743
Sub86	0.14810154	0.14721814	0.13936067	0.16864821	0.26389125	0.016547946	0.08858233	0.0	0.027649932
Sub87	0.1412223	0.14114925	0.14515994	0.19609112	0.24749549	0.019385794	0.08676136	0.0	0.022734795
Sub88	0.16029239	0.1641489	0.13896409	0.14805357	0.27723294	0.003286095	0.096707836	0.0	0.011314204
Sub89	0.15349951	0.15273085	0.13933983	0.16137747	0.27292976	0.012402349	0.089998335	0.0	0.017721903
