	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub70	0.1489081	0.15525417	0.1307539	0.27392063	0.138837	0.040201373	0.01612391	0.09455021	0.0014506966
Sub71	0.17178278	0.16653971	0.05873671	0.32726416	0.1605433	0.030047953	0.022014353	0.063071094	0.0
Sub72	0.16251777	0.16107644	0.10505482	0.17253828	0.22824408	0.046749894	0.018449878	0.10536881	0.0
Sub73	0.14704782	0.1941352	0.0954587	0.28627583	0.1383957	0.037256867	0.022104383	0.079325475	0.0
Sub74	0.12002398	0.12554826	0.09656419	0.3855072	0.09593393	0.038108338	0.016862163	0.08573784	0.035714086
Sub75	0.13061301	0.13491504	0.123926505	0.3208114	0.13769707	0.03562286	0.01724765	0.099166386	0.0
Sub76	0.17374332	0.20942579	0.0960584	0.1806632	0.2133114	0.029131621	0.012649166	0.0850171	0.0
Sub77	0.13355896	0.13936077	0.11516184	0.3334539	0.1361677	0.03573805	0.0051533235	0.10140549	0.0
Sub78	0.14872622	0.19621567	0.13830204	0.19826305	0.16809894	0.040932212	0.014143615	0.095318325	0.0
Sub79	0.15311761	0.1327363	0.115449436	0.29368445	0.14133292	0.041658204	0.019555815	0.08538571	0.01707954
Sub80	0.13160522	0.1120236	0.11552094	0.36590502	0.12072598	0.037252337	0.011665376	0.08987133	0.015430251
Sub81	0.16503645	0.17849974	0.11026264	0.19939132	0.20115559	0.038010743	0.021485677	0.086157784	0.0
Sub82	0.11360526	0.12907648	0.15135819	0.31827155	0.11770762	0.03218381	0.014518171	0.10607289	0.01720604
Sub83	0.12747538	0.10701019	0.09235814	0.37909135	0.13334917	0.037308812	0.015505463	0.06982023	0.03808124
Sub84	0.14132117	0.14221096	0.12474177	0.26623127	0.16291648	0.03783727	0.011838892	0.11171968	0.001182599
Sub85	0.15287894	0.15392666	0.08274939	0.30136663	0.1606334	0.039560862	0.017954057	0.09019914	0.0007308589
Sub86	0.16880769	0.17271198	0.10665722	0.20082149	0.17927483	0.043776616	0.018371811	0.08305669	0.026521765
Sub87	0.13815647	0.15992242	0.12082115	0.30812252	0.10896713	0.04187883	0.012168523	0.10996293	0.0
Sub88	0.19572115	0.23441261	0.09659453	0.12111049	0.20304531	0.037591074	0.027496561	0.08402825	0.0
Sub89	0.17404842	0.20375898	0.09442888	0.17678142	0.20098048	0.043988165	0.013075646	0.092938006	0.0
