	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
21000504	0.21870626199999998	0.305384258	0.09653584600000001	0.11184913380000001	0.057982551400000006	0.0624702914	0.0896996448	0.057372057600000005
21000630	0.24367787800000001	0.294218478	0.0863155156	0.09727854899999999	0.0419441312	0.0652456438	0.0946591692	0.0766606184
21001519	0.208650762	0.33600597200000004	0.10337750320000001	0.0814522274	0.038166143	0.0660690546	0.09529789880000002	0.07098046599999999
21001807	0.199718258	0.275766238	0.1183856472	0.12392828279999998	0.06535686040000001	0.063481537	0.08706222220000001	0.06630094239999999
21001933	0.18895849	0.32868035	0.11840263	0.11456733799999999	0.043922836199999996	0.061434886200000004	0.080923024	0.06311046000000001
21002524	0.273168172	0.262059422	0.10230201080000001	0.1007297068	0.061613007	0.0560223966	0.08649744200000001	0.057607835399999995
21101658	0.166661625	0.342888088	0.09034312879999999	0.14754609200000002	0.049439122599999996	0.05348180339999999	0.08442303	0.06521707759999999
21112011	0.17261046920000003	0.37878795	0.11317972800000002	0.0988408736	0.0376988678	0.05881705	0.07963510400000001	0.0604299618
21117192	0.1623246068	0.41436769800000006	0.1139812388	0.08877732660000001	0.032356680799999996	0.056683047	0.07405843299999999	0.05745099100000001
21126085	0.134199499	0.46144667199999995	0.1194240932	0.0831277088	0.032038752999999996	0.056465031799999996	0.06863168	0.044666552000000005
21138877	0.12203672159999998	0.5060126300000001	0.10102274	0.09621356480000001	0.030509882199999998	0.0467634006	0.0581077376	0.03933331019999999
21140119	0.273287516	0.22578989000000002	0.0798504416	0.161904018	0.0428401178	0.06676668740000001	0.0853552192	0.0642060804
21155350	0.252199956	0.185068754	0.075072978	0.158741458	0.0661750646	0.061359778399999995	0.11779988400000001	0.083582142
21157370	0.1464140528	0.308011776	0.1066273012	0.153715361	0.0546365466	0.0616854896	0.09899086	0.0699186156
21174303	0.218710768	0.328130426	0.097211662	0.10031223680000001	0.04050262340000001	0.075171395	0.08110605800000001	0.05885482820000001
21176459	0.0886700328	0.5329328579999999	0.1102600228	0.0736934694	0.0241404548	0.052610088199999995	0.06802472520000001	0.049668341799999995
21181988	0.1681760168	0.369889608	0.11393374679999999	0.0952175214	0.0383250014	0.0643749028	0.08720109079999999	0.06288211860000001
21183160	0.25703581	0.21683337400000005	0.08306842300000002	0.1097481968	0.08151061600000001	0.058356890800000005	0.109959209	0.083487494
21185180	0.22482633800000001	0.33529295800000003	0.093741832	0.099807168	0.0367384112	0.07094010619999999	0.07786273880000001	0.0607904974
21189544	0.170083224	0.4388701439999999	0.111302762	0.072747395	0.0317142162	0.05854008040000001	0.06962596699999998	0.047116229600000004
21191200	0.1714083808	0.37789096599999994	0.12185501699999998	0.09683164899999999	0.0343982132	0.062354260800000005	0.080473398	0.054788128000000005
21193068	0.1127872432	0.539885702	0.10446162540000001	0.058176444199999996	0.0357723138	0.0429232626	0.060584008	0.045409419000000006
21232244	0.22599564	0.288221954	0.11854238479999998	0.1129433608	0.04110201360000001	0.0691972824	0.0831018362	0.0608955308
21272396	0.21024196600000003	0.299720612	0.123817691	0.1189063928	0.034451665	0.0642602508	0.0836113032	0.06499010999999999
21274280	0.232369714	0.336035462	0.09096018380000001	0.07762841979999999	0.0479570676	0.0600028588	0.08343275800000001	0.07161350799999999
21274866	0.144543617	0.41877577200000005	0.10797294480000001	0.1156001428	0.031774475	0.05499574780000001	0.07144535999999999	0.05489194360000001
21293107	0.309204602	0.202793222	0.096313834	0.10974198639999999	0.060540006199999996	0.063252744	0.09354622800000001	0.0646073804
21362537	0.0843967474	0.44861729199999995	0.151510086	0.10116916140000001	0.0377395472	0.05012504339999999	0.0689874154	0.057454715600000004
21402016	0.130137768	0.393628344	0.121883772	0.12409930979999999	0.0326736202	0.0595461864	0.078148901	0.059882106000000004
21402304	0.24265683400000002	0.301232166	0.1120918868	0.10378319280000001	0.0525175784	0.0547812622	0.0747871232	0.0581499828
21403733	0.21281604	0.31866483199999995	0.1107042748	0.10696441000000001	0.0400610394	0.06583178780000001	0.08452878420000001	0.0604288346
21405627	0.146346106	0.363260076	0.11317744520000002	0.1361066312	0.0400948762	0.0544239904	0.08412455579999999	0.06246630660000001
21407511	0.220964	0.259668628	0.11495424520000001	0.12660528	0.0490833962	0.0665445824	0.095822591	0.06635725099999999
21411297	0.252646634	0.261478936	0.08483110999999999	0.1252976252	0.046019854400000004	0.0646662622	0.09508232999999999	0.0699772256
21411323	0.12247046499999999	0.37762191200000006	0.13304659800000002	0.127122486	0.038604645400000005	0.061718959399999995	0.079700998	0.059713949599999996
21411459	0.22353515799999996	0.28854335400000003	0.10269697200000001	0.10683837300000001	0.056344978000000004	0.0660520502	0.09462761300000001	0.06136153200000001
21412752	0.152379188	0.40042097200000004	0.10781050919999999	0.091228316	0.051320944800000004	0.051957085	0.080460662	0.0644223546
21413181	0.200920672	0.26789030999999996	0.11601278	0.1307048742	0.053834923	0.06486481	0.0970930348	0.0686785966
22101842	0.18511833100000002	0.361462878	0.131179044	0.08073093640000001	0.037691502	0.06555640900000001	0.0847224282	0.0535384952
22776575	0.22731379999999998	0.33127717	0.088434876	0.10412918900000001	0.0372434326	0.06857021240000001	0.0841228692	0.0589084446
22868024	0.26780640599999994	0.28834028	0.09587860880000001	0.09750722819999999	0.0401128914	0.06623130819999999	0.08391473499999999	0.060208568799999994
23004922	0.22791932999999998	0.299579196	0.0952626972	0.1202851188	0.0433228466	0.055760549199999995	0.08792857080000001	0.0699417032
24039289	0.311246498	0.23510611200000003	0.0963580728	0.11445351919999998	0.0350328922	0.06452622560000001	0.08463993399999999	0.0586367768
24310553	0.24106123799999998	0.29030288400000004	0.11238939340000001	0.1058495942	0.0422336612	0.062809096	0.0833726578	0.06198145799999999
2525608	0.163441109	0.372649686	0.1106759232	0.11523713259999999	0.0450908632	0.056124759	0.0805472732	0.05623327699999999
25300551	0.20479154400000002	0.348322318	0.0869774864	0.10005687999999999	0.048467631399999996	0.07074617359999999	0.0866063304	0.05403165
25580771	0.20898666800000001	0.202812694	0.087749416	0.143444654	0.0742446088	0.071631508	0.1118688852	0.09926157420000001
27313862	0.220779008	0.30976254000000003	0.106691693	0.12497620999999999	0.035459048400000005	0.0665502598	0.0819524288	0.053828845
