Mixture	ductal	acinar	delta	alpha	beta	gamma	endothelial	P-value	Correlation	RMSE
Sub40	0.179676004775737	0.621691790035355	0	0.0367544093794292	0.0520334050608483	0.0586235907356659	0.0512208000129643	0	0.953098624211852	0.324977630428625
Sub41	0.170895640827324	0.147097665673853	0.00940288659211552	0.280740221858337	0.166150628708596	0.181693629276296	0.0440193270634781	0	0.976463985643706	0.401512439300698
Sub42	0.23205575023526	0.233590973231182	0.0205709581130232	0.35752210041758	0.0624408550211419	0.0382888060112733	0.0555305569705393	0	0.983191621614234	0.269036460850446
Sub43	0.131066721310485	0.0952523603698174	0.00680089009131017	0.694569861513982	0.0475792992987036	0	0.0247308674157026	0	0.985777664595975	0.36213478804448
Sub44	0.228508339592473	0.192246356287169	0.0304117294340904	0.449642845266382	0.0485621633357033	0	0.0506285660841828	0	0.986812508100241	0.177910638956748
Sub45	0.0303712704320887	0.0255515439160654	0.0350768207905708	0.770299265740571	0.0825873396478366	0.0268710294421614	0.0292427300307066	0	0.986739571952092	0.473663492765865
Sub46	0.0810873933157358	0.43410419524111	0.000153413774653364	0.425384276193788	0.0214225719738959	0.00359418865202251	0.0342539608487948	0	0.979575621806297	0.204582676977538
Sub47	0.0892468400565117	0.268876056173511	0.028498674771384	0.194318250218856	0.329976893322398	0.0263419634691071	0.0627413219882322	0	0.90480685434866	0.532102899720236
Sub48	0.0796867467850491	0.0443013508757777	0.0298189640413803	0.326143901953526	0.331187843766182	0.157353383172203	0.0315078094058823	0	0.993446021386561	0.321368231325126
Sub49	0.186436442866375	0.0162836914997807	0	0.658699847775751	0.128405779739362	0	0.0101742381187308	0	0.974623566220161	0.346222772213346
Sub50	0.158639516073277	0.0987704292757422	0	0.634477330833864	0.0728535487204216	0	0.0352591750966945	0	0.98851104829434	0.262415221972249
Sub51	0.189835923208996	0.111775102800959	0.0161653222962972	0.295060823517955	0.136782080672777	0.207210013588073	0.0431707339149421	0	0.978029001770626	0.389452243940406
Sub52	0.13658495511228	0.151431246535897	0.151445108924494	0.377337359489473	0.166937980066372	0.00688857921208162	0.00937477065940323	0	0.952232759745918	0.340848887982354
Sub53	0.27980499190219	0.451677895277724	0	0.120953781254736	0.0347414517476154	0.0560716599078626	0.0567502199098721	0	0.963908314540232	0.389250063241557
Sub54	0.121578822834331	0.247447380606403	0.0124172608112776	0.302964880431893	0.16775389056324	0.0906601395657396	0.0571776251871169	0	0.984280893974851	0.322252085555084
Sub55	0.270820746582451	0.315715277582469	0.0111124417126528	0.0746509409240168	0.176296592483688	0.123795281741349	0.0276087189733729	0	0.954856496126322	0.539903363885675
Sub56	0.476828490984246	0.341785095287177	0	0.0573933147952342	0.0256079256747904	0.0478330893458908	0.0505520839126618	0	0.963999848635366	0.519081145243357
Sub57	0.26511421819493	0.084759711597299	0	0.342831120972897	0.260073782379736	0	0.047221166855138	0	0.979476044513574	0.336994682869484
Sub58	0.203665882297423	0.0384134416942829	0.0392959456857725	0.183186433871894	0.255131625300623	0.243708343298181	0.0365983278518232	0	0.943801858652675	0.583415743468419
Sub59	0.327937899848332	0.218302369492646	0.00957469307296522	0.174948262756348	0.227863064966172	0.0177230611837411	0.0236506486797964	0	0.956558799910163	0.526543655326568
Sub60	0.442145791587792	0.30982697345899	0.0133244323268087	0.128949848336915	0.0876552584182809	0	0.0180976958712134	0	0.948360848231725	0.515833203011831
Sub61	0.0964452659157533	0.535716843758469	0.0092894713698911	0.212452201544941	0.101510976896163	0.0121189979413069	0.0324662425734751	0	0.929322589942183	0.378863621335942
Sub62	0.0765661346655427	0.00157366542989681	0.00153190190775943	0.764504862919922	0.133353508734806	0	0.0224699263420734	0	0.987463772674937	0.460799363680255
Sub63	0.048517316417507	0.0480076104648842	0.00135324136738045	0.653117169306643	0.202932916926628	0	0.046071745516958	0	0.985198917417829	0.298556901000413
Sub64	0.0394554692210667	0.271994846509958	0	0.399100633536321	0.0197445517037831	0.205122160560886	0.064582338467985	0	0.973469231068677	0.246443835168266
Sub65	0.192278299400031	0.0795943781287848	0.00265759419402281	0.1742910296354	0.0291330924466315	0.440797102427013	0.0812485037681165	0	0.980298065051596	0.545523288509936
Sub66	0.164192673969251	0.0929316442969294	0.0398739375050756	0.0851174192113737	0.38544543501697	0.157256003483098	0.0751828865173022	0	0.86185611724741	0.718444652254648
Sub67	0.138133871534057	0.340439140135518	0	0.117156771995172	0.267846215253052	0.0683284722813802	0.06809552880082	0	0.93049648437135	0.518576924375611
Sub68	0.12268516204578	0.107466937562003	0.0424597896012672	0.336984441030066	0.207310381757671	0.0850975261074721	0.0979957618957411	0	0.982191860664203	0.334949145432682
Sub69	0.059790261172308	0.05844323364195	0.0758170677113694	0.463282809673521	0.258511073504864	0.0458126260198114	0.0383429282761769	0	0.982347966021296	0.199271329115464
Sub70	0.271930392157627	0.160274129035288	0	0.314843180704232	0.141409707218083	0.0491934448012765	0.062349146083493	0	0.954629133843159	0.401618905917902
Sub71	0.363688321055723	0.108124207611969	0	0.356852081967651	0.167970495300529	0.00232898664756993	0.0010359074165578	0	0.963103979048267	0.349475131661643
Sub72	0.0823854096927096	0.0146861882050166	0.00110275162877206	0.406845148870264	0.382201575979779	0.0605630808638589	0.0522158447595999	0	0.968400641421699	0.290703881401193
Sub73	0.208508339321869	0.0822746167919454	0	0.633229487579666	0.0532471334310174	0	0.0227404228755022	0	0.991038995210082	0.247672855282165
Sub74	0.517008042336379	0.284891485849442	0	0.144651605346727	0.029015846864973	0	0.0244330196024787	0	0.943775395999008	0.524853786193999
Sub75	0.506782995249103	0.0210803838481409	0	0.145020838552844	0.217645265856978	0.0686350372998687	0.0408354791930649	0	0.939446287344211	0.655073439065616
Sub76	0.0503449101669302	0.0574039234668645	0.0771696715345406	0.498863975562282	0.0978598022986712	0.178666877864408	0.0396908391063032	0	0.989589385140525	0.144311333871101
Sub77	0.313162357765063	0.12103516458061	0	0.293786198293673	0.0518619048722894	0.127688775243933	0.0924655992444313	0	0.982707902981805	0.391430405318914
Sub78	0.083313000683251	0.00373280087960157	0.0237651305541564	0.651687061402759	0.0482093499239679	0.116713389386002	0.0725792671702616	0	0.985514128500012	0.295584595654035
Sub79	0.201003875351939	0.207779219536823	0	0.509608251598398	0.0156506247873206	0	0.0659580287255196	0	0.976784444874634	0.218222411372616
Sub80	0.346869308321256	0.313047471744783	0	0.231715972326669	0.0301984075475123	0	0.0781688400597803	0	0.856171756646724	0.554390447120291
Sub81	0.156160363553823	0.0488591147279881	0.00372477506024734	0.426293144563783	0.321388964240243	0.00424961225921234	0.0393240255947029	0	0.96279346064841	0.293758374784314
Sub82	0.22326486150092	0.209234394962433	0.0170694658427047	0.04724217833622	0.307380695699294	0.0534047303471031	0.142403673311325	0	0.827978666164915	0.720114530060137
Sub83	0.377222463727423	0.333649671838813	0	0.142536910292617	0.0522546723136877	0.0574866465579196	0.0368496352695393	0	0.937576626123461	0.500408487855728
Sub84	0.269664430970665	0.0758583300786306	0	0.154193416119723	0.220913871945833	0.0932522257533932	0.186117725131756	0	0.892548780148196	0.670232463395278
Sub85	0.308218666572544	0.061119237644832	0	0.364077145699378	0.225803164969113	0	0.0407817851141329	0	0.972011196024582	0.330888844453401
Sub86	0.153009594985836	0.134029131065927	3.48063233519192e-05	0.495974513385955	0.171596954085585	0	0.0453550001533452	0	0.98356917029857	0.180861483273273
Sub87	0.290446459120238	0.0594791403906719	0.00416295277876606	0.267790104804521	0.0256651659476262	0.223455173850513	0.129001003107663	0	0.981761223910925	0.442275565194134
Sub88	0	0	0.0190097874602234	0.573310987864744	0.322357124285128	0.0653656316140016	0.0199564687759026	0	0.986186385854226	0.201508353337059
Sub89	0.0366796940129902	0	0.032867825493405	0.480353319023116	0.0636627431120159	0.335701734766099	0.0507346835923744	0	0.985533834165112	0.172317606291227
