individual	ratio	method
4341	2.974155069582505	snRNA-seq
5387	2.9695613249776187	snRNA-seq
5408	3.046052631578947	snRNA-seq
5538	1.6599552572706937	snRNA-seq
5577	4.8445040214477215	snRNA-seq
5879	2.166051660516605	snRNA-seq
5893	2.9731343283582095	snRNA-seq
5936	2.0105263157894737	snRNA-seq
5958	2.325167037861916	snRNA-seq
5976	2.123015873015873	snRNA-seq
