	Inhibitory	Excitatory	Oligodendrocyte	Astrocyte	OPC	Microglia	Endothelial	VLMC	Pericyte
12365619	0.0327421980849402	0.287091846652272	0.220904918663284	0.199392717002134	0.0001191197440583	0.0574218297248463	0.0276007167716526	0.000526699061724	0.174199954295088
1243685	0.0630359004865456	0.329099579439454	0.142675359601493	0.225720096746584	0.0001689308677787	0.0473155416688516	0.0203873958009425	0.0001137004227776	0.171483494965572
14184286	0.0095260617621292	0.273442081276069	0.234644476115202	0.224326843728238	0.0015860411738905	0.0538306668945794	0.0248087923740955	0.0001743684917652	0.17766066818403
14498577	0.125263169566283	0.359084527490918	0.14285867144115	0.145370138851951	0.0001930461867591	0.0435172943512174	0.015822091798483	0.0002581534133874	0.167632906899851
15113169	0.018660633226726	0.304174653246884	0.169018848990307	0.245199191711702	0.0001055968462509	0.0487851270137103	0.0242991356927477	0.0001499709556735	0.189606842315998
15114174	0.0521103614164828	0.333132476995375	0.16161316478723	0.184739182032673	9.96810235420913e-05	0.0651305078148066	0.0165575818699965	0.0001822796161151	0.186434764443778
15115927	0.0595727283928687	0.316776190754147	0.155900222187162	0.216820346517421	0.0001312030025865	0.0511248601089337	0.0189203507324136	8.62000226323732e-05	0.180667898281834
15121461	0.0145544562318273	0.30263495589241	0.212593342452517	0.216288578002843	0.0003753282153265	0.0524163234303247	0.0253938238694046	0.0003755900064046	0.175367601898943
15138884	0.0546779057341465	0.328905587362074	0.177530223766209	0.190889602875262	0.0002062798792576	0.0481376343176841	0.0235440170056931	0.0001799072410053	0.175928841818668
15144878	0.0652398377426479	0.316609838068	0.148626721905315	0.242358526424563	0.0009706152699279	0.0469674169980275	0.0191531852475337	0.0011686823170052	0.15890517602698
15161351	0.0735764528933722	0.341670095131361	0.152941077983123	0.217003019108702	0.0014031366865919	0.0342320928769936	0.0215908183834051	0.0002653974455116	0.157317909490939
15176592	0.131627973693756	0.358818719415263	0.129211216726808	0.171119994900646	5.51909584096047e-05	0.0517148988453328	0.0144116374834466	7.63908458370209e-05	0.1429639771305
15218541	0.0694326932070735	0.310734352059085	0.169497086676854	0.216655509648244	0.0001991406766489	0.0438977625253963	0.0216971892005006	0.0002050003227128	0.167681265683485
15387421	0.0319645182364236	0.324574685352085	0.206314273723019	0.19787217888769	0.0001144060959105	0.0431306347180413	0.0233987806073441	0.0003365244661384	0.172293997913348
15420223	0.0850959795392008	0.310425941670506	0.153317065559536	0.216744550854399	0.0003138136643002	0.045321217925786	0.0193354783008537	6.91893864809388e-05	0.169376763098937
15495024	0.0178562790841778	0.258281800868918	0.218644798967951	0.240379344527616	0.0036018069050122	0.0586380032674786	0.0258341800576086	0.0001907672131034	0.176573019108135
15712086	0.0696653673289278	0.321272569026351	0.162999709362305	0.203876530346866	0.0072701889159966	0.0501861332249035	0.0172872097502221	0.0002519059117304	0.167190386132698
15738428	0.0503192826691841	0.306952754282715	0.174696577592335	0.20454190992293	0.0009702412795601	0.0673983340628612	0.021598235588668	0.0003021903797407	0.173220474222006
15844425	0.0994822907824671	0.359967182475592	0.123154201836738	0.190044183233884	0.0003476173086276	0.0399389731237956	0.0202870639345803	0.0001141405728334	0.166664346731482
