,Macro,Endo,CD-PC,LOH,DCT,CD-IC,Neutro,PT,Podo
0,2.30293097680025e-07,6.26676046534833e-07,0.0161876002525482,0.024749608944014,0.557357354113509,2.14848949249356e-07,0.0114335051950839,0.390270506183117,3.53493635098642e-07
1,2.22858040177362e-06,7.58410691042548e-08,1.22924761135151e-07,7.72784899922879e-08,0.439783116825903,7.6599741349842e-08,0.0059985550366661,0.554214900750661,8.46162306103069e-07
2,0.0110235035666293,1.94400080955615e-07,0.0058174101252503,0.01772092798497,0.388602535038322,1.24659688290998e-07,0.0115512519605366,0.565283723428365,3.28836157686245e-07
3,5.13209054302782e-08,1.88556417771969e-07,0.0087637557210316,0.014279491550331,0.356736002661216,1.44310748558045e-07,0.0401589301299621,0.580060132920672,1.30282871656409e-06
4,7.66964130314313e-08,6.37356352102185e-07,0.0256248975156704,0.014070024512708,0.434500547769691,0.0001378236977563,0.0056097524474927,0.520056009310644,2.30693272366919e-07
5,0.262228863215164,2.75599258303224e-07,3.76220575380839e-07,2.54079977824376e-07,0.270517125318281,4.03306744328618e-07,0.00672290453048,0.436392945703087,0.0241368520264329
6,8.86221433786249e-08,0.189181499575414,0.0173340525247525,0.247114828740176,0.217264120886052,0.165815571238434,0.003348658483474,0.159940842612689,3.37316867158329e-07
7,0.0166935339672469,1.07289404320567e-07,0.0071820847109847,4.06253545983977e-07,0.119546806109465,2.11009975858528e-07,0.0254578207816039,0.804171140251657,0.0269478896261169
8,8.2894879693849e-08,2.89764919418362e-06,0.0263897540038626,0.0361932331077278,0.630615199804224,0.0188673610731031,0.0030071641822668,0.284924181744122,1.2554061991849e-07
9,0.0396611588344062,0.0446565764588915,0.0231361266243392,0.102142880260731,0.197057508327821,2.31610490866075e-07,0.0069817227953675,0.579981493511506,0.0063823015764467
