	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub45	0.06478097	0.30444622	0.1801195	-0.010819007	0.6289095	-0.20391463	-0.14160997	-0.02765364	0.0090026185
Sub46	0.06860459	0.17462648	0.22142811	0.0028416116	0.61309355	-0.14421624	-0.16290143	-0.019249698	0.17861158
Sub47	0.09236041	0.22784181	0.28374088	0.054048717	0.6599434	-0.16271463	-0.14746822	0.03647514	0.050775547
Sub48	0.08606276	0.30907038	0.2720293	0.027078116	0.68321043	-0.18931802	-0.17596495	-0.026095837	0.037785627
Sub49	0.06554252	0.29778513	0.19789468	0.02956673	0.57166994	-0.17181443	-0.124520995	-0.06821326	-0.016340384
Sub50	0.13687478	0.16799885	0.19181675	0.045574527	0.65152806	-0.12306494	-0.13253115	-0.008322075	0.020886177
Sub51	0.034643162	0.27528146	0.19985555	0.097544275	0.72596365	-0.23681825	-0.17298412	-0.031599686	0.021844247
Sub52	0.016972616	0.23635717	0.21903008	0.13723995	0.67812675	-0.17971615	-0.15212587	-0.026425844	0.06082796
Sub53	0.090433754	0.2106638	0.24698026	0.13657843	0.50170135	-0.17289132	-0.17969139	0.03833425	0.1667944
Sub54	0.07791085	0.2920589	0.24316566	0.067917235	0.6169609	-0.20855625	-0.16692173	0.00688077	0.09915314
Sub55	0.09022969	0.16135484	0.22215848	0.19929384	0.59071535	-0.20531063	-0.17219143	-0.039456725	0.14332245
Sub56	0.09269058	0.24194555	0.24597634	0.16164881	0.49930704	-0.1698082	-0.18236959	-0.04959021	0.14614747
Sub57	0.06833701	0.24003895	0.23185332	0.033926718	0.6299697	-0.1482109	-0.09281192	-0.04205166	0.031458918
Sub58	0.012069396	0.28155074	0.20195651	0.15451886	0.7375149	-0.20317288	-0.16244036	-0.0637884	0.020224305
Sub59	0.023683393	0.22474141	0.2505538	0.16216329	0.60288966	-0.15838818	-0.14854766	-0.02084755	0.052975163
Sub60	0.035654377	0.273546	0.26284122	0.21681839	0.560256	-0.18959631	-0.19971676	0.006666541	0.07233257
Sub61	0.046177197	0.17153169	0.26741633	0.14140548	0.64519006	-0.14444384	-0.1611715	0.014421225	0.23735358
Sub62	0.11245521	0.26492834	0.17424273	-0.061337035	0.49656954	-0.120879464	-0.112981774	-0.05891623	-0.033743
Sub63	0.11860692	0.2204804	0.21866746	-0.057939585	0.6001219	-0.17552997	-0.11303124	-0.11260891	-0.016995782
Sub64	0.04384545	0.21694927	0.14654511	-0.092953496	0.6877329	-0.2280673	-0.26352546	-0.06137377	0.05290963
Sub65	0.095128834	0.33043942	0.3264963	0.100574225	0.5402805	-0.15420452	-0.12773876	-0.0070170113	0.025033182
Sub66	0.0368162	0.26079732	0.23287827	0.13999167	0.7568055	-0.21419872	-0.20801282	0.064855725	-0.052614033
Sub67	0.095767714	0.23172843	0.24337845	0.09944374	0.63256717	-0.14442849	-0.16923034	-0.054546416	0.042040136
Sub68	0.046835158	0.28444013	0.28870025	-0.023714168	0.6782172	-0.21316147	-0.17457958	-0.046147022	0.041099876
Sub69	0.08501286	0.27483848	0.24872665	0.04360089	0.6582442	-0.23560075	-0.11295853	-0.047137246	-0.020723367
Sub70	0.10131351	0.21658255	0.21147658	-0.0011505535	0.58934027	-0.13188958	-0.1634261	-0.0026273925	0.035388377
Sub71	0.13318062	0.3007425	0.17719282	0.081753016	0.5693849	-0.13784431	-0.112730086	-0.063083865	0.02838788
Sub72	0.07758263	0.19788475	0.23636349	0.014901824	0.7248269	-0.15120563	-0.10112232	-0.0321425	-0.023058334
Sub73	0.07029284	0.34486023	0.1691497	0.0793884	0.4865229	-0.18274693	-0.11144004	-0.059817303	-0.0026076313
Sub74	0.023980958	0.25523415	0.16445456	0.19409323	0.4871541	-0.094281375	-0.20306142	-0.018063268	0.14247902
