	beta	alpha	delta	gamma	endothelial	acinar	ductal
Sub77	0.18033141	0.19895633	0.058834657	0.048903704	0.07215328	0.13656218	0.30425847
Sub78	0.27687612	0.27908573	0.059344947	0.076075196	0.07533387	0.06862231	0.16466184
Sub79	0.18863513	0.171367	0.061998304	0.07238019	0.05860464	0.19135581	0.2556589
Sub80	0.13436319	0.1425941	0.04086719	0.042030454	0.046065334	0.23557766	0.35850206
Sub81	0.3069775	0.23693867	0.07312577	0.094289124	0.04810643	0.07708578	0.16347675
Sub82	0.13255621	0.1480778	0.035979975	0.0581581	0.09951502	0.26937303	0.2563399
Sub83	0.13387066	0.1276835	0.049409617	0.039527267	0.045222625	0.26639766	0.3378887
Sub84	0.22891293	0.18037756	0.048266422	0.067265116	0.10855359	0.14150009	0.22512425
Sub85	0.217327	0.1920619	0.08072587	0.07126076	0.05642867	0.11589077	0.26630503
Sub86	0.2311636	0.21053319	0.08656782	0.08335277	0.0674283	0.14942949	0.17152487
Sub87	0.11464401	0.22958665	0.05883957	0.06353533	0.12026092	0.11439395	0.29873955
Sub88	0.2873451	0.32281527	0.103995435	0.11899495	0.049511507	0.04590029	0.071437426
Sub89	0.29246268	0.27131605	0.10804492	0.07841343	0.07356871	0.062174987	0.11401925
