	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X105_D0	0.45350572	0.073595546	0.19834752	0.029712291	0.11315864	0.13168027
X107_D0	0.4163561	0.073198974	0.23899148	0.039278008	0.10295528	0.12922019
X108_D0	0.3188705	0.07961726	0.2753921	0.04764534	0.100682855	0.17779191
X116_D0	0.4596006	0.06815613	0.18791926	0.023566177	0.1394427	0.121315144
X118_D0	0.36418733	0.062040567	0.23712528	0.037283663	0.12291357	0.1764496
X119_D0	0.35379443	0.0734176	0.24580275	0.03583611	0.1334949	0.15765424
X122_D0	0.4549227	0.06942209	0.16043292	0.02712617	0.14056131	0.1475348
X123_D0	0.49776912	0.057743933	0.16296595	0.039556284	0.0928803	0.14908446
X124_D0	0.2854633	0.077994786	0.2398727	0.049400043	0.13294707	0.21432209
X125_D0	0.447992	0.06807672	0.20665531	0.034402777	0.093429126	0.1494441
X126_D0	0.38657403	0.067655526	0.1341793	0.030594954	0.14037098	0.2406252
X128_D0	0.5428168	0.053132135	0.22850299	0.036700673	0.062212095	0.07663528
X129_D0	0.41455355	0.063715	0.25799605	0.032980774	0.10643098	0.124323666
X132_D0	0.3482119	0.06337536	0.21706676	0.030036865	0.1467253	0.19458379
X135_D0	0.32489258	0.079549335	0.2936754	0.037469268	0.110253595	0.15415983
X136_D0	0.316761	0.089950025	0.22810978	0.04468484	0.14466162	0.1758328
X137_D0	0.4335345	0.06414929	0.23126948	0.03614303	0.08551481	0.1493889
X138_D0	0.5048141	0.050619733	0.2398326	0.02568379	0.05500144	0.124048375
X139_D0	0.31491178	0.079698026	0.27508828	0.039914083	0.10348805	0.18689978
X142_D0	0.35987175	0.074875034	0.25093496	0.036612984	0.11068053	0.16702478
X143_D0	0.33205032	0.07000446	0.25043795	0.043196976	0.109409474	0.19490083
X144_D0	0.38390097	0.07225291	0.2357335	0.04859927	0.09337163	0.16614173
X145_D0	0.5279209	0.061796535	0.16078623	0.031049633	0.12777948	0.09066724
X146_D0	0.3193808	0.0875021	0.20877598	0.041625015	0.12790063	0.21481548
X147_D0	0.44745502	0.074796855	0.2512404	0.028792078	0.07669918	0.12101642
X149_D0	0.30861112	0.08061651	0.17863977	0.04122727	0.16416173	0.22674364
X150_D0	0.33530632	0.077056944	0.2301919	0.040837646	0.1396425	0.17696472
X152_D0	0.37681162	0.05657183	0.1954674	0.039465215	0.14715983	0.1845241
X153_D0	0.45530856	0.055151094	0.2632837	0.019498048	0.08243775	0.1243208
X154_D0	0.44090375	0.062074836	0.17885739	0.03790514	0.1029861	0.17727278
X155_D0	0.4577444	0.06329512	0.16041283	0.031868022	0.15122521	0.13545445
X160_D0	0.33066404	0.068288505	0.20044346	0.040917944	0.15900339	0.20068263
X161_D0	0.3846134	0.061605066	0.28372228	0.026770422	0.09261132	0.15067755
X165_D0	0.45335653	0.058521777	0.14712244	0.027518349	0.15532768	0.15815319
X167_D0	0.38768217	0.05302306	0.3625866	0.03190734	0.07902347	0.085777335
X168_D0	0.43514943	0.061397735	0.25748715	0.028706739	0.09516961	0.12208932
X169_D0	0.41409793	0.08900589	0.18321435	0.039476722	0.11129858	0.16290653
X170_D0	0.31563696	0.066386476	0.15750869	0.03875189	0.15927862	0.26243737
X171_D0	0.49270377	0.06502078	0.161817	0.017920902	0.13171704	0.13082056
X172_D0	0.38882598	0.056050986	0.20415235	0.028403992	0.11732721	0.20523952
X173_D0	0.37745383	0.053901296	0.29389343	0.024778234	0.06915065	0.18082255
X174_D0	0.3763051	0.07283862	0.29580274	0.0318884	0.08809346	0.13507168
X175_D0	0.31279096	0.057619616	0.24892493	0.028310418	0.15676352	0.1955905
X179_D0	0.39177334	0.06549712	0.14697744	0.029645497	0.16319655	0.20291002
X181_D0	0.33179855	0.057563942	0.26993385	0.022703595	0.120963216	0.19703686
X182_D0	0.35193217	0.073133826	0.227175	0.03835443	0.16556571	0.14383887
X183_D0	0.3379557	0.08006463	0.20670025	0.034836758	0.1532671	0.18717556
X184_D0	0.38803086	0.06174627	0.2142806	0.034176443	0.12988015	0.17188571
X186_D0	0.34634304	0.058322024	0.12328383	0.040825624	0.24866791	0.18255754
X187_D0	0.28611287	0.07497001	0.16914843	0.036658045	0.18512364	0.24798703
X189_D0	0.38857815	0.06719828	0.25628546	0.0510291	0.113236964	0.12367201
X190_D0	0.29000673	0.08196994	0.20594858	0.042057216	0.14919062	0.23082687
X191_D0	0.38853252	0.070684135	0.2871583	0.034626234	0.11048018	0.10851868
X194_D0	0.36295414	0.08254256	0.19163863	0.03458636	0.13426967	0.19400863
X195_D0	0.4281297	0.07462845	0.2631059	0.024224082	0.090317905	0.11959392
X196_D0	0.2834259	0.061426383	0.20562358	0.04362042	0.15207236	0.25383136
X197_D0	0.36142766	0.074753635	0.26382276	0.041187245	0.09987613	0.15893258
X199_D0	0.37436435	0.08144504	0.2865032	0.030982025	0.09755965	0.12914574
X200_D0	0.3003023	0.07819683	0.28391984	0.040277317	0.14179203	0.15551166
X201_D0	0.27403173	0.07898172	0.24066313	0.055143308	0.13314508	0.21803506
X202_D0	0.3802866	0.0773342	0.23352104	0.030674422	0.11640814	0.16177557
X203_D0	0.2759339	0.077633366	0.19077581	0.039818514	0.16042314	0.25541532
X204_D0	0.30023265	0.06587419	0.19944836	0.03653976	0.16410024	0.23380482
X205_D0	0.44544974	0.06261793	0.24353714	0.031479906	0.10158589	0.11532941
X206_D0	0.35955402	0.056886684	0.32634124	0.03929545	0.08594767	0.13197489
X208_D0	0.33817998	0.07970356	0.20674728	0.03435638	0.16498752	0.17602532
X209_D0	0.38305792	0.06499856	0.088811636	0.031172322	0.15437289	0.2775867
X210_D0	0.40975785	0.055323366	0.28434637	0.028348027	0.11305747	0.10916696
X213_D0	0.44219184	0.07001111	0.28081572	0.030551158	0.078914516	0.09751568
X214_D0	0.39441904	0.05743598	0.109610446	0.01794135	0.1885307	0.23206246
X215_D0	0.4041408	0.05960068	0.23642354	0.025619416	0.093290865	0.18092465
X217_D0	0.34244326	0.067773126	0.1631374	0.03013785	0.1868877	0.2096207
X218_D0	0.31879655	0.061629843	0.1891114	0.033808906	0.1562878	0.2403655
X219_D0	0.33020213	0.058614705	0.19283366	0.043031007	0.17096281	0.20435566
X222_D0	0.3717575	0.0600893	0.2397644	0.026153853	0.16553666	0.13669829
X223_D0	0.3521413	0.06029718	0.06470639	0.029233964	0.17864752	0.31497365
X225_D0	0.36634794	0.082254976	0.22955821	0.037367456	0.116524875	0.16794658
X226_D0	0.31951156	0.072012424	0.2425671	0.04394889	0.1084915	0.21346849
X228_D0	0.26836047	0.061665136	0.17609967	0.039909367	0.22285396	0.23111139
X230_D0	0.37186718	0.07380821	0.27508837	0.053027034	0.10886257	0.117346644
X231_D0	0.39077774	0.09010467	0.1627543	0.03404956	0.20419021	0.11812351
X232_D0	0.53058124	0.065107614	0.20418294	0.03850256	0.108551465	0.05307414
X233_D0	0.23832881	0.061147805	0.13107175	0.03422876	0.22561876	0.30960414
X234_D0	0.30323705	0.070410855	0.17432816	0.03615136	0.1945677	0.22130483
X236_D0	0.36257192	0.09108811	0.32506958	0.036014512	0.074504405	0.11075149
X237_D0	0.41144934	0.0664689	0.3000494	0.03480206	0.0748754	0.112354904
X238_D0	0.2991947	0.06022309	0.20502579	0.0438008	0.13138281	0.26037282
X239_D0	0.3788221	0.058954645	0.21460392	0.046746988	0.12105598	0.17981635
X240_D0	0.43060264	0.05319518	0.23589413	0.03333771	0.10877057	0.1381998
