Mixture	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
sample_0	0.0759742894748739	0.36576045212664	0.211575784151072	0.0901613939562179	0.202717012711743	0.0538110675794535
sample_1	0.0548486105407817	0.234683216776449	0.474398368811751	0.0918136474831899	0.107084676872563	0.0371714795152652
sample_2	0.124008663828574	0.247587576447743	0.0872508359869134	0.138049839767019	0.269315311657241	0.133787772312511
sample_3	0.0914781631421589	0.401231165095874	0.295767975044106	0.0984987099900259	0.0686190764867934	0.0444049102410418
sample_4	0.0729304565731505	0.373256985371379	0.271712015099604	0.126938620975093	0.132991968670301	0.0221699533104729
sample_5	0.0857758649651821	0.306259115001098	0.278326828411958	0.142211071990579	0.134989659659739	0.0524374599714443
sample_6	0.057163735894098	0.360727622754824	0.157558994435673	0.114355316380717	0.247009212774746	0.0631851177599419
sample_7	0.0701749171850512	0.405571609492343	0.338756497400504	0.102621915095208	0.0133001486023594	0.0695749122245346
sample_8	0.107610489387705	0.317634805887544	0.30627008775377	0.105930339620192	0.0955985188149004	0.06695575853589
sample_9	0.0639960101811294	0.196166736855573	0.392055937928353	0.17555947023416	0.118708797550495	0.0535130472502899
sample_10	0.0	0.487395728389052	0.153820138260578	0.20497406150527	0.110310330715218	0.0434997411298814
sample_11	0.0714217763846458	0.273732637909556	0.319818272371872	0.13769494109273	0.156882014866925	0.0404503573742721
sample_12	0.0949257096331008	0.237719385198737	0.428806536729058	0.096591685485149	0.108059393938708	0.0338972890152469
sample_13	0.08850297814196	0.178442911357868	0.425144943352726	0.127045834251792	0.110829909467876	0.0700334234277783
sample_14	0.0800863723153616	0.238320265318398	0.489747775149584	0.141112968369494	0.0286763578377718	0.022056261009391
sample_15	0.0236841340470626	0.429753120400929	0.331437353739453	0.132095535867351	0.0567071106191429	0.0263227453260614
sample_16	0.0759955796844877	0.170148860101066	0.443259458369217	0.092886669268742	0.182909386930254	0.0348000456462335
sample_17	0.0863552791288699	0.176700557421779	0.5710476990933	0.0851332291322273	0.0807632352238242	0.0
sample_18	0.0541329029693485	0.2831724954948	0.265707621755357	0.150975666033075	0.202399537835989	0.0436117759114308
sample_19	0.0574342274821417	0.258386028892292	0.295704727859614	0.115636692976683	0.22922716646076	0.0436111563285098
