Mixture	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
sample_0	0.103970212702647	0.400924072477402	0.177731071738411	0.193935687399345	0.071022272313182	0.0524166833690119
sample_1	0.0462362261246096	0.0067579875806053	0.253789856871663	0.2414402681079	0.404378200881262	0.0473974604339603
sample_2	0.0887540538055159	0.393465698648685	0.226563457711703	0.216381642498193	0.0319749522106227	0.0428601951252811
sample_3	0.0599042254302624	0.261756870414244	0.291887430880332	0.244853493812118	0.102839746676209	0.0387582327868349
sample_4	0.0998235571023033	0.148137755209473	0.401412634687508	0.204741543629609	0.121086437411595	0.0247980719595122
sample_5	0.0456364301670081	0.181422753261181	0.3204207576295	0.284977274274302	0.0386916522219432	0.128851132446066
sample_6	0.0533707163443497	0.06570964229807	0.395345700155191	0.167172608488826	0.283163282774851	0.0352380499387115
sample_7	0.101366968583208	0.433541368945418	0.172170159110087	0.222031939519376	0.021773561946884	0.0491160018950269
sample_8	0.105601848375286	0.252319934440474	0.238187197611202	0.281524710724539	0.0817110705658707	0.0406552382826282
sample_9	0.0885242075573561	0.356866832754178	0.339450876433388	0.174914654301748	0.021840488928414	0.0184029400249155
sample_10	0.129567502762625	0.0	0.765441217694938	0.0856443101508522	0.0	0.0193469693915849
sample_11	0.0746791710348925	0.333957923852527	0.281279370631264	0.20577134007314	0.0419665130655655	0.062345681342611
