	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
pbmc_1	0.40060666	0.09027567	0.30040222	0.008093107	0.0803349	0.12028738
pbmc_10	0.40967542	0.08742457	0.3087898	0.0	0.082466826	0.111643344
pbmc_12_merged_1.fastq	0.38812986	0.07289184	0.27468738	0.021310987	0.099783935	0.14319605
pbmc_2_merged_1.fastq	0.4223907	0.08159236	0.2500172	0.017311573	0.095662996	0.13302521
pbmc_4	0.4216944	0.097636975	0.2816784	0.0	0.08410447	0.11488576
pbmc_5_merged_1.fastq	0.41524717	0.086845376	0.26263073	0.0	0.10366363	0.13161306
pbmc_6_merged_1.fastq	0.43334797	0.09147605	0.2708978	0.0	0.09979392	0.104484156
pbmc_7_merged_1.fastq	0.42910594	0.09465371	0.29794857	0.004603816	0.07613421	0.09755379
pbmc_9_merged_1.fastq	0.41490343	0.08370825	0.27725875	0.0	0.09640077	0.12772878
