	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
sample_0	0.0532818255658673	0.246933073146849	0.164925893975293	0.272515965781952	0.103634075179915	0.158709166350124
sample_1	0.0181223425860997	0.0955605471824217	0.424550950318137	0.298525435630479	0.0481058629391957	0.115134861343667
sample_2	0.133466473915288	0.199046294834777	0.119728946339701	0.157796270504614	0.0649705211722939	0.324991493233325
sample_3	0.095150595283557	0.255534014102455	0.202937619487942	0.268858779247947	0.0138726454893025	0.163646346388797
sample_4	0.113864087462829	0.212670698958343	0.186227304582762	0.275971034388146	0.0601604657437477	0.151106408864173
sample_5	0.0961642844465655	0.223722432163621	0.242460874224567	0.204156423823014	0.0618313621272581	0.171664623214975
sample_6	0.0714267960266787	0.248854404431098	0.142956901109625	0.215466656447515	0.111523635375791	0.209771606609292
sample_7	0.0249684486269695	0.24026885123017	0.288449954952311	0.305192205460789	0.019062764487773	0.122057775241988
sample_8	0.0420101598044676	0.170806858203676	0.268393939925827	0.351400658221011	0.0719136109030231	0.095474772941995
sample_9	0.0380398093381238	0.0823675315006952	0.437659969565273	0.28124062321565	0.0139813314568857	0.146710734923373
sample_10	7.28832924445562e-05	0.41669371990038	0.0973750895755655	0.288592615788433	0.0613729599454107	0.135892731497765
sample_11	0.0182908025538146	0.107950155526447	0.367727359619005	0.335458037777201	0.050698867777886	0.119874776745646
sample_12	0.0754715875443892	0.129173122181938	0.469705034571195	0.19242200667866	0.0235433595257049	0.109684889498113
sample_13	0.0347610375405519	0.0569106311157757	0.514095476850402	0.24188532892385	0.0200754292025985	0.132272096366822
sample_14	0.0300674993657274	0.113871802534136	0.448808357831226	0.322448257785613	0.0191243169358689	0.0656797655474281
sample_15	0.0034700211655121	0.338855559137293	0.257372480612201	0.286748979502602	0.0331532666657149	0.0803996929166769
sample_16	0.0245642219806137	0.0699963855508813	0.478029873156149	0.26260574340883	0.0530907256572976	0.111713050246228
sample_17	0.0527847332150387	0.0500324518451874	0.542454495998868	0.267361770908972	0.0007679447108274	0.0865986033211062
sample_18	0.0043890328677339	0.137312915159658	0.364682526835623	0.327944114597046	0.0958455463804751	0.0698258641594642
sample_19	0.0217668030009741	0.192774877021332	0.316981728478917	0.26731265494992	0.0966264789582032	0.104537457590653
