Mixture	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
X2_D0	0.0573986435838315	0.322657591308456	0.160810649800998	0.171375302501363	0.224256605826997	0.063501206978354
X4_D0	0.0449652794016861	0.222784968915533	0.105997319353	0.178105615340904	0.271341568960445	0.176805248028432
X5_D0	0.037567815978144	0.404263869324868	0.148882870455115	0.1476109289476	0.188132659325196	0.0735418559690764
X6_D0	0.0224225188184839	0.331515755554653	0.194615800788119	0.214977977326113	0.146551076295642	0.0899168712169898
X8_D0	0.0828537521819049	0.299840787730425	0.170755110233461	0.156787668100277	0.238338219919129	0.0514244618348032
X10_D0	0.0843110116758531	0.302457529702271	0.183374968615976	0.153528433887495	0.191578285651143	0.084749770467263
X11_D0	0.0672903626611443	0.315292525813952	0.191080311757782	0.171557824899501	0.198448055627159	0.0563309192404615
X12_D0	0.0530137060115395	0.31804958612103	0.151477916952356	0.197708211026762	0.215317473474479	0.0644331064138337
X13_D0	0.0302829873158274	0.383142643618177	0.27226242445143	0.21491661857724	0.0637568287593317	0.0356384972779938
X14_D0	0.0247418614624918	0.283810303543582	0.213791685635369	0.206597752940442	0.213595636861194	0.0574627595569212
X15_D0	0.0655484202870385	0.313558113483607	0.205214153139952	0.182023864253047	0.184703303645853	0.0489521451905023
X19_D0	0.051752532571581	0.385054143487472	0.0641762681737916	0.154059385111652	0.191963593159047	0.152994077496456
X20_D0	0.0490168946373998	0.31841476748025	0.198434066171708	0.148863332239009	0.16875158787323	0.116519351598403
X23_D0	0.0597153409063759	0.30686726868436	0.174579342795853	0.155024813992306	0.250639673010493	0.0531735606106127
X24_D0	0.0585502965935226	0.313761897867657	0.342505225200051	0.206859819964406	0.0783227603743636	0.0
X27_D0	0.0470186157118567	0.387674313687986	0.148840270760462	0.118980048231047	0.234702824226361	0.0627839273822874
X29_D0	0.0424289119330482	0.368482975750602	0.165312642413728	0.15265994590402	0.196739859426717	0.0743756645718847
X31_D0	0.0499237603226993	0.256265218765379	0.15544669057845	0.170080363615841	0.285398973546918	0.0828849931707127
X32_D0	0.0641742332153265	0.262068307264058	0.156609594908412	0.226849470508171	0.235664533874808	0.0546338602292233
X33_D0	0.039663775117442	0.300988303447341	0.139552269418114	0.181845104418496	0.170454911859003	0.167495635739605
X35_D0	0.0321876170918276	0.273321760675667	0.127276088564622	0.176638549809932	0.273980883630148	0.116595100227805
X36_D0	0.0090985638575221	0.370162619883302	0.244877895845489	0.199293443834792	0.106927369855157	0.0696401067237372
X38_D0	0.0620562504313548	0.295371809455704	0.121982316681469	0.189085110102598	0.251428009120881	0.0800765042079925
X39_D0	0.0080733591871907	0.340577720482419	0.196392878744204	0.218507053014067	0.173257199621811	0.0631917889503078
X40_D0	0.0517236994926867	0.307616381206931	0.201484439503557	0.171307528763025	0.193564013677736	0.0743039373560641
X42_D0	0.0464673223387944	0.310282015581368	0.127711224044133	0.154498708912816	0.263367280962501	0.0976734481603878
X44_D0	0.0485121429194595	0.378822144795697	0.146936341219444	0.207778854663691	0.101212131892995	0.116738384508713
X45_D0	0.0234184544207236	0.351070639757265	0.141532096164826	0.213434484611327	0.187075468721584	0.0834688563242748
X46_D0	0.0210572440337712	0.321534793437916	0.146989522570969	0.20382994671162	0.133269154325369	0.173319338920355
X48_D0	0.0559698995387375	0.330897549003384	0.185184041472261	0.176119780781424	0.138642899156945	0.113185830047248
X49_D0	0.0562198720529964	0.342499795136877	0.087769077929446	0.142940525960476	0.251752249528542	0.118818479391663
X50_D0	0.0503484840239494	0.35354272232384	0.278561033184699	0.149270724905612	0.123836056347484	0.0444409792144146
X51_D0	0.0547448140636792	0.319634557513788	0.301532088877655	0.157460137998726	0.123019830633504	0.0436085709126475
X52_D0	0.0699912771104116	0.342554967273115	0.236587447478953	0.130597723053677	0.177877327027531	0.0423912580563117
X53_D0	0.0330545345832788	0.327153115192875	0.329255978691255	0.151093430470599	0.132895368652534	0.0265475724094577
X54_D0	0.0473654052284948	0.295721930705178	0.328364738988988	0.142066738714673	0.160128289658692	0.0263528967039734
X55_D0	0.0491158679432609	0.34947004775815	0.229468183396103	0.189022956193466	0.167983125944225	0.0149398187647953
X56_D0	0.0372409566986512	0.354985778544583	0.201344747708633	0.162164801130669	0.146279740967519	0.0979839749499454
X57_D0	0.0305390498598337	0.292869986626533	0.215179532930437	0.200675393715608	0.260736036867588	0.0
X58_D0	0.0006296650191772	0.415060129037122	0.233226864616882	0.174791599952247	0.135327525602359	0.0409642157722128
X59_D0	0.0435588522761791	0.297855823831512	0.186227155641255	0.182213119305521	0.14951674031282	0.140628308632712
X60_D0	0.0492629820292164	0.292353894053186	0.229709464126206	0.127999243502704	0.220320913312221	0.0803535029764664
X62_D0	0.0612046770800186	0.298296198010609	0.161007791961418	0.166423076213523	0.21572581000889	0.0973424467255421
X63_D0	0.068867549611823	0.358830571298477	0.147996601403529	0.172930171642464	0.163900572527943	0.0874745335157636
X64_D0	0.0588716173424967	0.348453367371642	0.194154373487231	0.184537439376664	0.0994626521777636	0.114520550244203
X67_D0	0.0195857190762224	0.328622712096813	0.190920593077925	0.195975493076965	0.185295022308176	0.0796004603638978
X68_D0	0.0505092125022411	0.378869220152261	0.22348150189453	0.217399037427246	0.117244034047003	0.0124969939767192
X69_D0	0.0462882450979824	0.249410284438373	0.271464207474882	0.17225247196238	0.189315299638517	0.0712694913878655
X70_D0	0.0344718521338875	0.379021438410788	0.224512588619435	0.206992761554709	0.13759456709338	0.0174067921878009
X71_D0	0.0140011580515426	0.338068952055637	0.255430853806105	0.179067746479146	0.134851270311583	0.078580019295986
X73_D0	0.0380782057561352	0.310142615377888	0.237130626294308	0.203311550910725	0.203747044377904	0.0075899572830393
X74_D0	0.0339695428123342	0.344301547409475	0.276057474190575	0.1920748359457	0.141248410918297	0.0123481887236188
X75_D0	0.0645023392030887	0.365763969796819	0.223739947039693	0.179923796934919	0.121334826474314	0.0447351205511669
X76_D0	0.0493366662756808	0.279150463018373	0.230276581073475	0.151296881077976	0.232463545824481	0.0574758627300144
X77_D0	0.0574372172095523	0.355633783636231	0.175500845088089	0.201210584610653	0.160962094832217	0.0492554746232582
X78_D0	0.0456828661042884	0.437931328921013	0.156531986279044	0.201920953874443	0.131031794758331	0.026901070062881
X79_D0	0.0460340870837925	0.32514742997143	0.260750313926393	0.250695108175989	0.0838076358562186	0.0335654249861764
X80_D0	0.0522004070483805	0.320100439076225	0.261487106955961	0.145109658707353	0.181360462741431	0.0397419254706497
X81_D0	0.004661428911615	0.338043098770596	0.355764926693834	0.167839389227848	0.133691156396107	0.0
X83_D0	0.02575510301177	0.285980991164497	0.261995662903401	0.203057202326618	0.223211040593715	0.0
X84_D0	0.0548897206146667	0.342329394263725	0.20923277268052	0.218016123752509	0.123931092470322	0.0516008962182578
X85_D0	0.0542583417068978	0.320741998262123	0.218774721240137	0.16879041333183	0.146426454457002	0.0910080710020101
