	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
sample_0	0	0.171526563342944	0	0	0.558355455653723	0.270117981003334
sample_1	0	0.119039880482028	0	0	0.516709687439773	0.364250432078198
sample_2	0	0.159567123324961	0	0	0.49350373629871	0.346929140376329
sample_3	0	0.176451044812133	0	0	0.495880576343854	0.327668378844013
sample_4	0	0.151669987746862	0	0	0.483609203331597	0.364720808921541
sample_5	0	0.139902631865391	0	0	0.545797026597245	0.314300341537364
sample_6	0	0.168391843643121	0	0	0.496630503904711	0.334977652452168
sample_7	0	0.0952946428659536	0	0	0.535384322311261	0.369321034822786
sample_8	0	0.138625776403199	0	0	0.548113199987215	0.313261023609586
sample_9	0	0.0457122580505211	0	0	0.566464676955686	0.387823064993793
sample_10	0	0.158418785408874	0	0	0.550315555748049	0.291265658843077
sample_11	0	0.0938981080866529	0	0	0.498422945266251	0.407678946647096
sample_12	0	0.11082757005041	0	0	0.545283067315542	0.343889362634047
sample_13	0	0.0365906328693142	0	0	0.557986799631485	0.405422567499201
sample_14	0	0.0665646387128359	0	0	0.478712495807688	0.454722865479476
sample_15	0	0.176299726996191	0	0	0.495723866224497	0.327976406779311
sample_16	0	0.0472271855846522	0	0	0.52717891903703	0.425593895378318
sample_17	0	0.0925075029329572	0	0	0.530309431253432	0.377183065813611
sample_18	0	0.107349373063336	0	0	0.515897885842463	0.376752741094201
sample_19	0	0.101599576447441	0	0	0.532805705762014	0.365594717790545
