	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
K2_GARD_BATCH_2	0.0	0.642440862706322	0.0	0.0	0.339623878444613	0.017935258849066
K14_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.920007586692378	0.0799924133076221
K33_CTL_FC1_4	0.0	0.004726785432846	0.0368844055798155	0.0	0.868739717020002	0.0896490919673363
K12_LPS_FC1_4	0.0	0.0	0.0030621392910557	0.0	0.958613860786739	0.038323999922205
T10_GARD_BATCH_2	0.0	0.0788853803437796	0.0071241214378082	0.0	0.780734491991439	0.133256006226973
K24_GARD_BATCH_2	0.0	0.0	0.0141144760660175	0.0	0.872968244125616	0.112917279808367
T106_GARD_BATCH_2	0.0	0.0149949396721966	0.0	0.0	0.985005060327803	0.0
T30_LPS_FC1_4	0.0	0.0464593689407465	0.0	0.0	0.92843293871666	0.0251076923425935
T12_CTL_FC1_4	0.0	0.0682695755007683	0.0	0.0	0.882927939635631	0.0488024848636005
T27_CTL_B_BATCH_2	0.0	0.0609632732864339	0.0	0.0	0.921814546213343	0.0172221805002232
T32_LPS_FC1_4	0.0	0.0138589481275342	0.0	0.0	0.940164238234889	0.0459768136375772
T109_LPS_FC1_4	0.0	0.103263943844451	0.0	0.0	0.886153245384935	0.0105828107706143
T73_CTL_FC1_4	0.0	0.0605716576669506	0.0	0.0	0.910970303833184	0.0284580384998652
T104_CTL_FC1_4	0.0	0.0124600685063029	0.0235218368819914	0.0	0.911637815417235	0.0523802791944708
K17_CTL_FC1_4	0.0	0.0	0.0301845412462063	0.0	0.91776001018524	0.0520554485685539
T3_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.951558903148719	0.0484410968512806
K34_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.968170641747114	0.0318293582528857
K23_LPS_FC1_4	0.0	0.0	0.0005303074539973	0.0	0.891699848663456	0.107769843882547
T80_CTL_FC1_4	0.121877440738905	0.0004620461913914	0.0657805347920202	0.0021205999667513	0.787655850816731	0.0221035274942007
K18_GARD_BATCH_2	0.0	0.0	0.0192355305763723	0.0	0.910994086795318	0.0697703826283097
T71_LPS_FC1_4	0.0	0.0242456150677702	0.0013972508456561	0.0	0.952200926227055	0.0221562078595187
K12_CTL_FC1_4	0.0	0.0	0.0169165234836192	0.0	0.922627789983305	0.0604556865330758
K33_LPS_FC1_4	0.0	0.0	0.0486032512639562	0.0	0.863274245798633	0.0881225029374107
T74_GARD_BATCH_2	0.0	0.14796024150004	0.0	0.0	0.846173551278799	0.0058662072211613
K26_GARD_BATCH_2	0.0	0.0057888092822461	0.0	0.0	0.893977498177026	0.100233692540728
