	Bcells	CD4Tcells	CD8Tcells	Monocytes	NK	Unknown
X139_D0	0.1069	0.425	0.186	0.1359	0.09734	0.04886
X142_D0	0.0829	0.371	0.184	0.1986	0.0875	0.076
X143_D0	0.1138	0.378	0.194	0.1356	0.12565	0.05295
X144_D0	0.1479	0.335	0.13	0.1951	0.0747	0.1173
X145_D0	0.1062	0.249	0.0825	0.2734	0.247	0.0419
X146_D0	0.0902	0.28	0.272	0.1483	0.0935	0.116
X147_D0	0.0718	0.367	0.173	0.2497	0.0698	0.0687
X149_D0	0.0935	0.255	0.224	0.1338	0.23519	0.05851
X150_D0	0.10681	0.327	0.145	0.1517	0.2144	0.05509
X152_D0	0.1066	0.275	0.12	0.1551	0.24447	0.09883
X153_D0	0.0535	0.365	0.156	0.2083	0.14588	0.07132
X154_D0	0.09334	0.284	0.293	0.1654	0.1131	0.05116
X155_D0	0.1456	0.31	0.0917	0.2177	0.1433	0.0917
X160_D0	0.1172	0.259	0.165	0.1306	0.28353	0.04467
X161_D0	0.08296	0.404	0.182	0.1569	0.10368	0.07046
X165_D0	0.0877	0.238	0.0863	0.1927	0.3533	0.042
X167_D0	0.09998	0.471	0.115	0.151	0.1141	0.04892
X168_D0	0.0905	0.37	0.169	0.2045	0.1204	0.0456
X169_D0	0.1118	0.264	0.222	0.2315	0.05372	0.11698
X170_D0	0.10387	0.282	0.277	0.1268	0.16791	0.04242
X171_D0	0.05377	0.271	0.162	0.2275	0.1441	0.14163
X172_D0	0.07793	0.263	0.252	0.1491	0.1879	0.07007
X173_D0	0.06827	0.481	0.157	0.1499	0.09629	0.04754
X174_D0	0.0916	0.428	0.196	0.1431	0.0795759	0.0617241
X175_D0	0.06754	0.315	0.161	0.1416	0.23251	0.08235
X179_D0	0.088	0.229	0.193	0.1791	0.2539	0.057
X181_D0	0.0385	0.446	0.202	0.135	0.12935	0.04915
X182_D0	0.1079	0.371	0.041	0.1358	0.2837	0.0606
X183_D0	0.0831	0.326	0.176	0.1648	0.2083	0.0418
X184_D0	0.0924	0.252	0.239	0.1693	0.18957	0.05773
X186_D0	0.1185	0.167	0.0852	0.155	0.3847	0.0896
X187_D0	0.08918	0.285	0.259	0.0957	0.2268	0.04432
X189_D0	0.1786	0.339	0.0909	0.1674	0.17834	0.04576
X190_D0	0.105	0.294	0.195	0.1342	0.19858	0.07322
X191_D0	0.1145	0.33	0.0869	0.165	0.21493	0.08867
X194_D0	0.0976	0.319	0.164	0.1558	0.17853	0.08507
X195_D0	0.0698	0.353	0.154	0.2049	0.13977	0.07853
X196_D0	0.11111	0.295	0.224	0.1026	0.21465	0.05264
X197_D0	0.1245	0.284	0.199	0.175	0.11073	0.10677
X199_D0	0.0837	0.288	0.244	0.1879	0.12943	0.06697
X200_D0	0.1058	0.372	0.167	0.1196	0.1988	0.0368
X201_D0	0.1407	0.302	0.145	0.0981	0.2727	0.0415
X202_D0	0.0886	0.391	0.133	0.1691	0.1694	0.0489
X203_D0	0.0927	0.312	0.214	0.1098	0.1583	0.1132
X204_D0	0.09319	0.344	0.194	0.1079	0.2178	0.04311
X205_D0	0.0961	0.333	0.196	0.1997	0.12839	0.04681
X206_D0	0.11506	0.442	0.161	0.1422	0.1004	0.03934
X208_D0	0.0916	0.237	0.187	0.1486	0.25355	0.08225
X209_D0	0.067	0.231	0.337	0.1683	0.1163	0.0804
X210_D0	0.06412	0.424	0.0795	0.1964	0.18883	0.04715
X213_D0	0.0824	0.4	0.143	0.1837	0.1301	0.0608
X214_D0	0.02688	0.262	0.319	0.1876	0.1585	0.04602
X215_D0	0.06608	0.381	0.232	0.182	0.081	0.05792
X217_D0	0.0501	0.219	0.137	0.1675	0.3246	0.1018
X218_D0	0.07147	0.314	0.289	0.113	0.15442	0.05811
X219_D0	0.1147	0.274	0.161	0.1351	0.26356	0.05164
X222_D0	0.0668	0.361	0.0645	0.1514	0.30588	0.05042
X223_D0	0.06428	0.152	0.485	0.105	0.1042	0.08952
X225_D0	0.1186	0.426	0.187	0.160067	0.03047	0.077863
X226_D0	0.10956	0.379	0.165	0.1399	0.14298	0.06356
X228_D0	0.0833	0.235	0.247	0.0957	0.21354	0.12546
X230_D0	0.1316	0.372	0.0856	0.181	0.16456	0.06524
X231_D0	0.10143	0.155	0.173	0.1908	0.30645	0.07332
X232_D0	0.1581	0.287	0.116	0.2764	0.10316	0.05934
X233_D0	0.0626	0.227	0.479	0.0669	0.11143	0.05307
X234_D0	0.0856	0.229	0.224	0.1262	0.2857	0.0495
X236_D0	0.0927	0.449	0.159	0.1836	0.06354	0.05216
X237_D0	0.11388	0.364	0.199	0.1835	0.06868	0.07094
X238_D0	0.1099	0.33	0.353	0.109	0.04966	0.04844
X239_D0	0.1341	0.297	0.21	0.1638	0.1416	0.0535
X240_D0	0.1028	0.326	0.118	0.1768	0.21719	0.05921
