	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X94_D0	0.52267194	0.05439952	0.200096	0.01396475	0.15038687	0.05848097
X95_D0	0.18680263	0.10103712	0.08019559	0.0	0.2843625	0.3476021
X96_D0	0.46421975	0.03016983	0.15095717	0.0	0.24744172	0.10721158
X99_D0	0.50572747	0.02480981	0.13577041	0.0	0.18770142	0.14599097
X100_D0	0.39914006	0.06282901	0.12427416	0.0	0.22739314	0.1863637
X102_D0	0.4515279	0.06506427	0.11434948	0.0	0.19910538	0.1699531
X104_D0	0.5690859	0.034761254	0.082161844	0.0	0.16629362	0.14769731
X105_D0	0.5197631	0.062013015	0.1623752	0.0	0.18172769	0.07412098
X107_D0	0.4837407	0.061930425	0.18842497	0.0	0.15486395	0.11104002
X108_D0	0.3709812	0.076386765	0.2523366	0.0013292367	0.13419214	0.16477408
X116_D0	0.5366062	0.048167642	0.15686569	0.0	0.18551002	0.07285043
X118_D0	0.4364903	0.044417206	0.17411682	0.0	0.1765154	0.16846026
X119_D0	0.43183938	0.06266201	0.20539308	0.0	0.18654446	0.11356111
X122_D0	0.53278476	0.05351783	0.09166366	0.0	0.20031625	0.12171748
X123_D0	0.5967495	0.032390174	0.103892565	0.0	0.14965305	0.11731464
X124_D0	0.34446886	0.06266065	0.21058789	0.003335761	0.18391342	0.19503337
X125_D0	0.5299499	0.061274342	0.13338634	0.0	0.1615009	0.11388847
X126_D0	0.47318694	0.054618463	0.05653986	0.0	0.19557719	0.22007759
X128_D0	0.6261298	0.029627822	0.19770291	0.0	0.123714246	0.022825208
X129_D0	0.495359	0.043428205	0.21277231	0.0	0.16312622	0.08531424
X132_D0	0.43673497	0.046245523	0.16768245	0.0	0.19464338	0.15469368
X135_D0	0.3681665	0.08420593	0.24759595	0.0	0.15208311	0.1479485
X136_D0	0.39711583	0.0880301	0.19900341	0.0	0.18092537	0.13492525
X137_D0	0.5260233	0.036794517	0.18700278	0.0	0.12429661	0.1258828
X138_D0	0.5933216	0.026117897	0.2088977	0.0	0.08860279	0.08305998
X139_D0	0.37303922	0.07071841	0.26042065	0.0	0.14855218	0.14726958
X142_D0	0.41912472	0.07510217	0.20980427	0.0	0.17042124	0.1255476
X143_D0	0.41221228	0.049535513	0.22466336	0.0	0.15389201	0.15969689
X144_D0	0.47497705	0.049104452	0.17760006	0.010425944	0.1482199	0.13967258
X145_D0	0.6247901	0.026988992	0.09725483	0.0	0.18754004	0.06342609
X146_D0	0.3927427	0.083231606	0.16524132	0.0	0.18090072	0.17788367
X147_D0	0.5019105	0.07217934	0.20742917	0.0	0.12926385	0.08921715
