	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X118_D0	0.45224175	0.1293013	0.08075989	0.0	0.12817454	0.20952256
X119_D0	0.44900724	0.13503522	0.08913285	0.0	0.13066569	0.19615905
X122_D0	0.489435	0.13621815	0.05645214	0.0	0.12993893	0.18795578
X123_D0	0.51839274	0.12993746	0.057501454	0.0	0.11143411	0.18273427
X124_D0	0.41704634	0.13328676	0.085347496	0.0	0.13505735	0.22926213
X125_D0	0.4904527	0.14135186	0.06633702	0.0	0.11417889	0.1876795
X126_D0	0.46777642	0.1345099	0.04606686	0.0	0.13253959	0.21910727
X128_D0	0.53227556	0.12806498	0.08817346	0.0	0.099440545	0.15204556
X129_D0	0.4764142	0.12895167	0.09324516	0.0	0.11988059	0.18150829
X132_D0	0.4512674	0.12854995	0.08082157	0.0	0.13324775	0.20611322
X135_D0	0.4279868	0.14256124	0.09938719	0.0	0.12216295	0.20790185
X136_D0	0.43635318	0.14509389	0.08423665	0.0	0.130402	0.2039143
X137_D0	0.49317023	0.12693352	0.08655581	0.0	0.10596068	0.18737975
X138_D0	0.5283561	0.12376284	0.09297226	0.0	0.08875775	0.16615099
X139_D0	0.43182322	0.13547093	0.10139317	0.0	0.12063694	0.21067567
X142_D0	0.44706964	0.14027946	0.08445412	0.0	0.12449027	0.20370647
X143_D0	0.44555438	0.12952936	0.09550391	0.0	0.12147897	0.20793332
X144_D0	0.47014427	0.13344619	0.0767152	0.0	0.116338365	0.20335598
X145_D0	0.5244701	0.12939063	0.054747123	0.0	0.12215189	0.1692403
X146_D0	0.43492806	0.1451387	0.07299241	0.0	0.13025597	0.21668491
X147_D0	0.48349765	0.14264543	0.08624434	0.0	0.10644145	0.18117116
X149_D0	0.42721498	0.13749935	0.070123084	0.0	0.14443868	0.22072397
X150_D0	0.43640506	0.1363879	0.0820014	0.0	0.1370829	0.20812273
X152_D0	0.47271025	0.11343682	0.07618038	0.0	0.13459934	0.20307325
X153_D0	0.4933238	0.12053875	0.11102852	0.0	0.10878535	0.1663236
X154_D0	0.4985715	0.12541091	0.06346318	0.0	0.11448998	0.19806442
X155_D0	0.49128625	0.13229619	0.06089177	0.0	0.1288341	0.1866917
X160_D0	0.45101848	0.12364736	0.07823727	0.0	0.13815619	0.20894067
X161_D0	0.45938066	0.1250934	0.11157184	0.0	0.110598914	0.19335523
X165_D0	0.4926033	0.12518084	0.068840906	0.0	0.1303908	0.18298413
X167_D0	0.45882106	0.11994593	0.1441346	0.0	0.10451614	0.17258228
X168_D0	0.48778012	0.12222242	0.10165204	0.0	0.10982176	0.17852364
X169_D0	0.47051564	0.14912923	0.06702257	0.0	0.12140507	0.19192754
X170_D0	0.43386224	0.12403604	0.057482947	0.0	0.14217006	0.24244872
X171_D0	0.50450194	0.12997614	0.07582184	0.0	0.12274136	0.16695864
X172_D0	0.4796765	0.11642634	0.077581376	0.0	0.12194491	0.20437086
X173_D0	0.4703718	0.10990924	0.1283038	0.0	0.09974599	0.19166912
X174_D0	0.45755374	0.13165724	0.11744826	0.0	0.1103669	0.18297379
X175_D0	0.4168537	0.12127008	0.10017329	0.0	0.14328061	0.21842231
