	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
T63_LPS_FC1_4	0.12671077	0.01795492	0.39061305	0.07480413	0.20446196	0.18545517
T81_LPS_FC1_4	0.11191782	0.017890306	0.4109073	0.100365356	0.1783793	0.18053995
T104_LPS_FC1_4	0.101783246	0.012625591	0.4454884	0.074040376	0.17756078	0.1885016
T4_GARD_BATCH_2	0.1067288	0.016839225	0.40300348	0.09103195	0.19748518	0.18491131
K47_LPS_FC1_4	0.1301163	0.02075115	0.39931017	0.08203659	0.1892203	0.17856552
T4_CTL_FC5	0.10357941	0.015190137	0.41149947	0.08859861	0.19358678	0.18754561
T12_CTL_B_BATCH_2	0.12024703	0.0207643	0.4219912	0.07888381	0.17826816	0.17984556
T84_LPS_FC1_4	0.117081344	0.014209514	0.41303158	0.07869458	0.19079487	0.18618816
K44_LPS_FC1_4	0.10673381	0.015216364	0.41642606	0.091953404	0.1849042	0.18476614
K10_LPS_FC1_4	0.09670321	0.010020115	0.4303909	0.07983306	0.19146615	0.19158658
T13_LPS_FC1_4	0.13215618	0.018077664	0.39013937	0.09462789	0.19385216	0.17114675
T119_LPS_FC1_4	0.10230163	0.016095921	0.42815715	0.0811116	0.18259	0.18974368
T115_LPS_FC1_4	0.13077703	0.018307699	0.4070009	0.09185244	0.1763267	0.17573519
K19_CTL_FC1_4	0.09969357	0.017267559	0.43440413	0.08569264	0.17639448	0.1865476
T9_LPS_FC1_4	0.111710735	0.015178196	0.43163848	0.079173975	0.17954841	0.18275021
T30_CTL_FC1_4	0.13354753	0.022760851	0.39705065	0.080725715	0.18463133	0.18128383
T15_GARD_BATCH_2	0.11543456	0.019327601	0.38786042	0.11302677	0.18462904	0.17972162
T101_GARD_BATCH_2	0.12851612	0.021043869	0.3627528	0.086820066	0.2147632	0.186104
K29_CTL_FC1_4	0.116066046	0.01879242	0.41814014	0.09444227	0.1755949	0.17696416
T32_GARD_BATCH_2	0.14176361	0.027954385	0.39541408	0.08837095	0.178693	0.16780399
T34_CTL_FC1_4	0.114261776	0.015828256	0.40863815	0.08770415	0.19025858	0.18330905
T120_GARD_BATCH_2	0.10020646	0.014509007	0.42128962	0.087430485	0.18447958	0.19208486
T15_CTL_FC1_4	0.11019024	0.016154336	0.39763927	0.11028793	0.18365468	0.18207361
T31_CTL_FC1_4	0.119216606	0.026074125	0.39922768	0.097305216	0.18090528	0.17727116
T65_LPS_FC1_4	0.10912632	0.012641377	0.43892348	0.07827319	0.17977932	0.1812564
T33_GARD_BATCH_2	0.11285613	0.017204389	0.41274714	0.10540992	0.18093699	0.17084534
T62_LPS_FC1_4	0.116961606	0.015591876	0.39888212	0.09407628	0.19290209	0.18158607
K52_LPS_FC1_4	0.10855731	0.017372668	0.42776933	0.08541472	0.17823228	0.1826536
