,20% Split,Activated 1,Actiated 2,8k test,"Style 
transfer"
MuSiC,0.05,0.12,0.1,0.13,0.19
MuSiC-M,0.06,0.12,0.11,0.11,0.14
CibersortX,0.04,0.11,0.12,0.12,0.13
Scaden,0.05,0.1,0.14,0.13,0.12
TAPE-O,0.04,0.15000000000000002,0.13,0.18,0.11
TAPE-A,0.04,0.12,0.15,0.17,0.16
BayesPrism,0.03,0.2,0.13,0.15,0.12
BayesPrism-M,0.03,0.16,0.18,0.12,0.13
"DISSECT
w/o consistency",0.045,0.12000000000000001,0.13,0.14,0.12
DISSECT,0.041,0.08,0.09,0.1,0.11
